Opening Record Report (0105),,,,,,,,,,
Event Ord.,Time,Flag,Card Type,Card No.,Holder,ID No.,Issuer,Time Issued,Modifier,Time Modified
1,20/06/2025 10.51.00,,Clock Card,,,,,,,
2,20/06/2025 10.51.00,,Clock Card,,,,,,,
3,20/06/2025 10.46.00,Latch bolt record,,,,,,,,
4,20/06/2025 10.46.00,Latch bolt record,,,,,,,,
5,20/06/2025 10.46.00,Latch bolt record,,,,,,,,
6,20/06/2025 10.46.00,Exit Double Locked,,,,,,,,
7,20/06/2025 02.28.00,Double Locked record,,,,,,,,
8,20/06/2025 02.28.00,Latch bolt record,,,,,,,,
9,20/06/2025 02.28.00,Latch bolt record,,,,,,,,
10,20/06/2025 02.27.00,Latch bolt record,,,,,,,,
11,20/06/2025 02.27.00,Latch bolt record,,,,,,,,
12,20/06/2025 02.27.00,,Guest Card,11522,Ilham Fajar Ikhwanda,,thalia,20/06/2025 02.28.15,,
13,19/06/2025 19.56.00,Latch bolt record,,,,,,,,
14,19/06/2025 19.56.00,Latch bolt record,,,,,,,,
15,19/06/2025 19.30.00,Latch bolt record,,,,,,,,
16,19/06/2025 19.04.00,Latch bolt record,,,,,,,,
17,19/06/2025 19.04.00,Latch bolt record,,,,,,,,
18,19/06/2025 18.55.00,,HSKP Card,30,FRONTOFFICE,02,Administrator,18/02/2023 16.18.56,alvin,01/03/2025 21.34.53
19,19/06/2025 10.32.00,Latch bolt record,,,,,,,,
20,19/06/2025 10.19.00,Latch bolt record,,,,,,,,
21,19/06/2025 10.19.00,,HSKP Card,7460,HK,,alvin,26/09/2024 11.19.37,alvin,01/03/2025 21.35.44
22,19/06/2025 08.16.00,Latch bolt record,,,,,,,,
23,19/06/2025 08.16.00,Latch bolt record,,,,,,,,
24,19/06/2025 08.16.00,Latch bolt record,,,,,,,,
25,19/06/2025 08.16.00,Latch bolt record,,,,,,,,
26,19/06/2025 08.15.00,Exit Double Locked,,,,,,,,
27,18/06/2025 22.29.00,Double Locked record,,,,,,,,
28,18/06/2025 22.29.00,Latch bolt record,,,,,,,,
29,18/06/2025 22.29.00,Latch bolt record,,,,,,,,
30,18/06/2025 22.29.00,Latch bolt record,,,,,,,,
31,18/06/2025 22.29.00,Latch bolt record,,,,,,,,
32,18/06/2025 22.29.00,,Guest Card,11515,Faris Putra Ishamadi,,thalia,18/06/2025 22.28.56,,
33,18/06/2025 22.13.00,Latch bolt record,,,,,,,,
34,18/06/2025 22.11.00,Latch bolt record,,,,,,,,
35,18/06/2025 22.11.00,Latch bolt record,,,,,,,,
36,18/06/2025 21.52.00,Latch bolt record,,,,,,,,
37,18/06/2025 21.52.00,Latch bolt record,,,,,,,,
38,18/06/2025 21.52.00,Latch bolt record,,,,,,,,
39,18/06/2025 21.52.00,Latch bolt record,,,,,,,,
40,18/06/2025 21.52.00,Latch bolt record,,,,,,,,
41,18/06/2025 21.52.00,,HSKP Card,7460,HK,,alvin,26/09/2024 11.19.37,alvin,01/03/2025 21.35.44
42,18/06/2025 19.40.00,Latch bolt record,,,,,,,,
43,18/06/2025 19.39.00,Latch bolt record,,,,,,,,
44,18/06/2025 19.39.00,,HSKP Card,30,FRONTOFFICE,02,Administrator,18/02/2023 16.18.56,alvin,01/03/2025 21.34.53
45,18/06/2025 16.40.00,Latch bolt record,,,,,,,,
46,18/06/2025 16.40.00,Latch bolt record,,,,,,,,
47,18/06/2025 16.40.00,Latch bolt record,,,,,,,,
48,18/06/2025 16.31.00,Latch bolt record,,,,,,,,
49,18/06/2025 16.30.00,Latch bolt record,,,,,,,,
50,18/06/2025 16.30.00,Latch bolt record,,,,,,,,
51,18/06/2025 16.30.00,,HSKP Card,7460,HK,,alvin,26/09/2024 11.19.37,alvin,01/03/2025 21.35.44
52,18/06/2025 13.12.00,Latch bolt record,,,,,,,,
53,18/06/2025 13.12.00,Latch bolt record,,,,,,,,
54,17/06/2025 23.02.00,Latch bolt record,,,,,,,,
55,17/06/2025 23.02.00,,HSKP Card,7460,HK,,alvin,26/09/2024 11.19.37,alvin,01/03/2025 21.35.44
56,17/06/2025 16.03.00,Latch bolt record,,,,,,,,
57,17/06/2025 16.03.00,Latch bolt record,,,,,,,,
58,17/06/2025 15.58.00,Latch bolt record,,,,,,,,
59,17/06/2025 15.58.00,,HSKP Card,30,FRONTOFFICE,02,Administrator,18/02/2023 16.18.56,alvin,01/03/2025 21.34.53
60,17/06/2025 15.47.00,Latch bolt record,,,,,,,,
